learning_rate,num_hidden_layer,num_features,val_loss,val_f1
5e-05,0,[],0.3166225522079251,0.916017316017316
5e-05,1,[641],0.218350368805907,0.9126638911327908
5e-05,2,"[854, 428]",0.24179513515396553,0.9224088604893559
5e-05,3,"[959, 640, 321]",0.2352099736983126,0.9331206804891015
5e-05,4,"[1022, 767, 512, 257]",0.2772019845856862,0.9088057609588712
5e-05,5,"[1067, 854, 641, 428, 215]",0.26149228282950143,0.9033915673093834
